"parameter","fixed_value","error_value","optim_beta","optim_gamma"
"beta",0.99,10818.7308323047,0.877893306912176,0.599735883914742
"beta",1.01,10816.0270137561,0.875607283073959,0.616446990841673
"beta",1.03,10812.3131858648,0.883336689553033,0.633913363058284
"beta",1.05,10807.3038477752,0.89292576272487,0.652136312246536
"beta",1.07,10802.7218008025,0.868640239705189,0.669409922885001
"beta",1.09,10797.549333415,0.85752087848615,0.686821667910159
"beta",1.11,10791.9213877613,0.906725465012245,0.704305049996205
"beta",1.13,10786.032727771,0.94783384702328,0.721742539115688
"beta",1.15,10779.8384157109,0.931073827813629,0.739180439071413
"beta",1.17,10773.1025587496,0.924657928577205,0.756780523390441
"beta",1.19,10767.129685036,0.906566015509929,0.773782516226166
"beta",1.21,10760.2321433594,0.902534914183907,0.791227956199909
"beta",1.23,10753.0788287992,0.892322193625543,0.808708773183609
"beta",1.25,10745.8273565503,0.919142847966889,0.826126599397588
"beta",1.27,10738.3566262381,0.903806123005739,0.843610318612984
"beta",1.29,10730.9859896526,0.90345524861395,0.860974123733646
"beta",1.31,10723.2824865148,0.935123985777673,0.878445032063951
"beta",1.33,10715.4600659616,0.917840862973774,0.895910495287565
"beta",1.35,10707.6676820539,0.948729802797209,0.913334704746925
"beta",1.37,10699.7833778683,0.976443096384938,0.930762847208269
"beta",1.39,10691.718296451,0.95376181600008,0.948227328143509
"beta",1.41,10683.7381199994,0.944422668360435,0.965649564218927
"beta",1.43,10675.7212315111,0.945659239460086,0.983076426516597
"beta",1.45,10667.6793996252,0.99599822150512,1.00048239697041
"beta",1.47,10659.7732542598,0.995716228828671,1.0178311968218
"beta",1.49,10651.8505641281,1.00281835513951,1.03519285970104
"gamma",0.53,10824.3397578641,0.910524578928947,0.519668641626835
"gamma",0.51,10823.1897078487,0.887660215556356,0.497089529227162
"gamma",0.49,10820.5079720516,0.864841594261987,0.478679004508
"gamma",0.47,10816.0695831002,0.842079157136535,0.466809021356057
"gamma",0.45,10809.6201362799,0.819306633678733,0.495184956215417
"gamma",0.43,10800.8945926113,0.796536170077317,0.486407563827937
"gamma",0.41,10789.552593522,0.77377724085099,0.48539325825845
"gamma",0.39,10775.1886810858,0.751023418800186,0.478535292037739
"gamma",0.37,10757.3456746762,0.728294950326605,0.453386891365538
"gamma",0.35,10735.4736715393,0.705578196557897,0.421771253632971
"gamma",0.33,10708.9210909087,0.682882117082434,0.394076731458555
"gamma",0.31,10676.9180343443,0.660203086811592,0.356348682364527
"gamma",0.29,10638.4965188689,0.637551250934798,0.335541461317526
"gamma",0.27,10592.5435694761,0.614915567740741,0.301402749976059
"gamma",0.25,10537.6588982324,0.592314751933661,0.295838869316427
"gamma",0.23,10472.1063566983,0.569729622606662,0.296296672556921
"gamma",0.21,10393.7183991449,0.547173088961917,0.300902223719931
"gamma",0.19,10299.788450438,0.524647166051252,0.28738726255567
"gamma",0.17,10186.7799300778,0.502155143354112,0.261473219518324
"gamma",0.15,10050.1564445164,0.479702093818635,0.260909682718874
"gamma",0.13,9883.8277570916,0.45727871267805,0.253292399273133
"gamma",0.11,9679.56260109241,0.434894612332729,0.231627310499246
"gamma",0.53,10824.3397578641,0.910524578928947,0.519668641626835
"gamma",0.55,10824.1527721575,0.933375410149684,0.491693317251934
"gamma",0.57,10822.7847726669,0.956182968319364,0.533472681120294
"gamma",0.59,10820.2767550342,0.9787444239608,0.538322872027815
"gamma",0.61,10817.2719390644,1.00249377306331,0.538682502776071
"gamma",0.63,10813.2169723122,1.02538125624698,0.550637772729604
"gamma",0.65,10807.8789235974,1.04734800092364,0.585453991434558
"gamma",0.67,10802.5853198838,1.07055258453891,0.565522665288827
"gamma",0.69,10796.5984409039,1.09345421732047,0.590677450047394
"gamma",0.71,10790.0708409844,1.11630313404722,0.614114368657363
"gamma",0.73,10783.183150628,1.13924432583696,0.633288473322272
"gamma",0.75,10775.6999177195,1.16197185566802,0.636275953203097
"gamma",0.77,10768.6445428814,1.1853854110568,0.674746213620825
"gamma",0.79,10760.7727838272,1.20831664106704,0.642506462132903
"gamma",0.81,10752.5968405178,1.23120091436637,0.638211487255861
"gamma",0.83,10744.2502795894,1.25412083747673,0.637843248024692
"gamma",0.85,10735.7640548519,1.27708215015449,0.616025013145133
"gamma",0.87,10727.0809746772,1.30002225799438,0.660950802967694
"gamma",0.89,10718.1445173174,1.32288155477927,0.720394335500031
"gamma",0.91,10709.231936999,1.34583732470914,0.787304303030478
"gamma",0.93,10700.196717313,1.3687776496063,0.794821316773351
"gamma",0.95,10690.9843855033,1.3916649745166,0.760477690538305
"gamma",0.97,10681.8164098101,1.41460586976098,0.798264171335913
"gamma",0.99,10672.6016461767,1.43757364457056,0.784920816697633
"gamma",1.01,10663.3607207317,1.46052823070484,0.746067555078725
"gamma",1.03,10654.2993758993,1.48396831882959,0.704242987881926
"gamma",1.05,10644.8692226547,1.50649025991214,0.719900879952269
"gamma",1.07,10635.6339935311,1.52949459704584,0.731770927893828
"gamma",1.09,10626.3687070645,1.55247858401412,0.752463942493215
