"parameter","fixed_value","error_value","optim_beta","optim_kappa","optim_gamma","optim_mu","optim_S0","optim_E0","optim_I0","optim_R0"
"kappa",0.84,10824.3001048399,0.92009713605307,0.862196751002751,0.536683954039225,0.0962327062211279,0.999899988154379,1.10553658096847e-07,1.10190528132774e-07,1.03992047018989e-06
"kappa",0.86,10824.4096907363,0.914807340775411,0.876607515381163,0.533999599397424,0.0963209571539357,0.999899994264928,1.0509700821013e-07,1.04910590851952e-07,1.01907562349719e-06
"kappa",0.88,10824.4362512651,0.909828514142253,0.888965433384703,0.532020713445666,0.0962079501910365,0.999899998137077,1.01665147754505e-07,1.01603836643694e-07,1.00630640329999e-06
"kappa",0.9,10824.3952588361,0.909708108262509,0.882374228341432,0.533192593876126,0.0967348658394362,0.999900003587008,9.67911241057567e-08,9.6932171304096e-08,9.87985658234276e-07
"kappa",0.92,10824.2417126539,0.910039258943366,0.8732092785441,0.534225589087976,0.0976343070223808,0.999900009223311,9.176613924518e-08,9.20871257543016e-08,9.69287889407489e-07
"kappa",0.94,10824.1633585581,0.899175389407654,0.894937765375561,0.529619442283783,0.0949949409141984,0.999900010432274,9.05817657901278e-08,9.09711591163064e-08,9.6474557547001e-07
"kappa",0.96,10824.5582810986,0.862792106090487,0.987811573320496,0.504312929878723,0.0916997116289787,0.999900003476667,9.67275556978239e-08,9.70250300735475e-08,9.90226540366238e-07
"kappa",0.98,10824.6164537406,0.848715647240132,0.326672147335362,0.496635414818137,0.0895868459678746,0.999900000494682,9.98959457575115e-08,9.99982293075004e-08,1.00308242068119e-06
"kappa",1,10824.6415947066,0.841638225276426,0.926676395886388,0.492764017781586,0.0888417595169477,0.999900002604942,9.81624821107389e-08,9.66046668192292e-08,9.85430994960088e-07
"gamma",0.4,10825.2940549931,0.68535908353401,1.57605685829,0.219619144635695,0.0724373159834439,0.99990001906831,7.43748768511351e-08,8.94572229175633e-08,0.00590485311748912
"gamma",0.42,10824.8635448707,0.722341910405443,1.28451318714826,0.464872264358599,0.0756939425157558,0.999900005921974,9.76909201462638e-08,9.64075043183648e-08,9.82455739401473e-07
"gamma",0.44,10824.4553248983,0.758877649087441,1.12616364772088,0.268983979795234,0.0798523155321953,0.999899994713598,1.0457606126903e-07,1.05128964780134e-07,1.06875219898837e-06
"gamma",0.46,10824.5966751993,0.790491382032513,1.05546594421641,0.481501390889985,0.0825370512661812,0.999899995365445,1.05584851816242e-07,1.04707295963593e-07,1.02345077448066e-06
"gamma",0.48,10824.7109389753,0.819606790566143,1.0495598850975,0.396462666788934,0.0866231893980182,0.99990000323013,9.60517902436619e-08,9.65922596748931e-08,9.83089337212637e-07
"gamma",0.5,10824.269633096,0.860604323770837,0.909027467337067,0.593947940363506,0.0903535589912147,0.999899990389255,1.09830745784369e-07,1.09490395843409e-07,1.04654537197501e-06
"gamma",0.52,10824.4050752457,0.892095369235367,0.88133447957377,0.54811666298575,0.0937217101463072,0.999899993621411,1.06586216992726e-07,1.05897446199759e-07,1.0269742371388e-06
"gamma",0.54,10823.6413645843,0.913868404079922,0.948255765937376,0.519504317553009,0.0982038025301828,0.999900011497708,8.78911642698167e-08,8.92169255672588e-08,9.51509612918925e-07
"gamma",0.56,10824.3494040879,0.955543460229257,0.83301416181274,0.426745432236129,0.100865500944723,0.999899999727014,1.00414916229634e-07,1.00231786697967e-07,1.0013742629994e-06
"gamma",0.58,10824.0034496313,0.987784582691336,0.832939182288767,0.495634808752385,0.106442361878991,0.999900006415405,9.28746394844747e-08,9.3766983287609e-08,9.7134525049877e-07
"gamma",0.6,10824.2935907533,1.02356158570236,0.770720007977934,0.574514858718079,0.107901243620298,0.999899999643991,1.00418852995599e-07,1.00389629874476e-07,1.00150541801579e-06
"mu",0.02,10712.5719334247,0.455131429587805,3.13623896679283,0.260752349974546,1.76693052379604e-05,0.999899974899973,1.05711795196846e-07,1.2428758507847e-07,0.00571675861156284
"mu",0.025,10747.8721306885,0.477884369533512,2.65362257375982,0.274173747293332,0.0263142875999931,0.999899986358157,1.19177115896904e-07,1.21531292618375e-07,0.00951948183328878
"mu",0.03,10773.987855707,0.498762502462163,2.64740205199873,0.288726573167676,0.00245354108174392,0.999899988079681,1.03022247281312e-07,1.18680864199345e-07,1.28778180996059e-05
"mu",0.035,10797.2979273798,0.498570098831658,4.62100159871196,0.29128968670223,0.000118160194273511,0.999900022770116,7.46427884920746e-08,8.10343695251609e-08,0.000260088697207709
"mu",0.04,10804.7386381446,0.538464901103735,2.61905345475326,0.31482730781318,0.0277893985201211,0.999900014712527,8.39352332048658e-08,9.64633173511014e-08,0.00939456259539479
"mu",0.045,10807.3364345384,0.587901669411204,1.64259650879039,0.343037254992037,0.00128884657894426,0.99989997828201,1.24973580784651e-07,1.15288501725954e-07,0.00966283526591467
"mu",0.05,10819.3052281373,0.571053570177766,2.59960561231408,0.334516863659311,0.00344354253598188,0.999900016991489,6.99431144793548e-08,8.45364938862704e-08,0.00462102607359361
"mu",0.055,10822.903488729,0.586943522248012,2.56869709102818,0.34381556971311,0.0100215422814395,0.999900031615672,7.58377012843027e-08,6.96644888318142e-08,0.00409792433821384
"mu",0.06,10820.9790932961,0.668695912191642,1.42143833026977,0.393677589906811,0.000544371179000097,0.999899992959584,1.0467435789973e-07,1.01646217755053e-07,0.00920041441463508
"mu",0.065,10824.3426468375,0.663137095753776,1.58867262368229,0.387889678045275,0.00229689410328703,0.99990001069394,8.46423809347199e-08,9.12581554559447e-08,0.00107404957493918
"mu",0.07,10823.3308363442,0.734297261340642,1.18482708114384,0.430607453098573,0.0235428935008614,0.999899994840622,9.81333864960862e-08,9.97070700876906e-08,9.83222406083061e-07
"mu",0.075,10824.02807742,0.761051635562681,1.1073341492424,0.444999007993385,0.247046607576493,0.999899997790749,1.04160391591295e-07,1.02746542521439e-07,1.00907833987872e-06
"mu",0.08,10822.7556738269,0.844312002230308,0.910930170501473,0.495890846629984,0.149293335742079,0.999899991843791,1.09021967506959e-07,1.08142662562858e-07,1.04345547248146e-06
"mu",0.085,10823.2276748959,0.874756439927749,0.856936516070795,0.511611316414345,0.127407913020165,0.999899984688551,1.15687422400398e-07,1.14073890199846e-07,1.06408774604188e-06
"mu",0.09,10823.9886881515,0.89970477366267,0.859675089781373,0.527227119661632,0.0785162168096908,0.999899993918482,1.0660701717598e-07,1.05786880059034e-07,1.02585180603416e-06
"mu",0.095,10824.4256109752,0.910355358787614,0.872149424033211,0.532693442053454,0.100205898472779,0.999899997566614,1.02585890462501e-07,1.02311597420612e-07,1.01062054910057e-06
"mu",0.1,10824.2233139033,0.911643048615896,0.892793190026867,0.531332808327698,0.105581558088846,0.999900000103212,9.98774803097818e-08,9.98959770476188e-08,9.99568266876477e-07
"mu",0.105,10823.7668126026,0.932947909243446,0.884668959825694,0.543112906282821,0.123748365452099,0.99990000377277,9.60709665750882e-08,9.6399348083539e-08,9.83471311279734e-07
"mu",0.11,10822.5384900733,0.937726159841146,0.914614216851108,0.545014619640561,0.0108336044713187,0.999900010476232,8.86653355049402e-08,8.99444883789857e-08,9.54918030977026e-07
"mu",0.115,10820.5374029625,0.94511728254773,0.96103673092839,0.550864006236319,0.00258772883495017,0.999900018484424,8.01739136307196e-08,8.25304668992139e-08,9.21842101030265e-07
"mu",0.12,10822.1039371568,1.01218155327234,0.830913786521621,0.587937794241228,0.0747972146090688,0.999900007413351,9.19585644823919e-08,9.29866337511883e-08,9.7014358820057e-07
"mu",0.125,10818.7492755021,0.990001811894727,0.908821082719812,0.573968819272386,0.00515384500530073,0.999900017024562,8.21006921365207e-08,8.40875014115683e-08,9.27113838174032e-07
"mu",0.13,10823.6875803905,1.15710383794707,0.701467814275562,0.67476476299317,0.0199818110019509,0.99989999726381,9.86890379371003e-08,1.00195447976982e-07,1.0052216250697e-06
"mu",0.135,10822.227919699,1.145148827079,0.729449581346354,0.664308655286016,0.0779818833705618,0.999900010093855,8.67740326611016e-08,8.93976181970193e-08,9.55175575966707e-07
"mu",0.14,10823.6918540011,1.25344398330702,0.667925323089213,0.733137835754845,0.662543061038565,0.999900005140949,8.83557307500634e-08,9.21815084743414e-08,9.38604176203265e-07
"mu",0.145,10821.5625220259,1.20653735327052,0.704368665342362,0.700086567042707,0.000307586390913283,0.999900005193288,8.98713362294218e-08,9.31154867417842e-08,9.6990942121555e-07
"mu",0.15,10818.6272568671,1.18776010370134,0.748769235096447,0.688517582542217,0.317454365771845,0.999900014138351,8.2835276789011e-08,8.40989605832051e-08,9.26685958066651e-07
