"parameter","fixed_value","error_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"gamma",0.4,10824.911679452,0.685686353799294,1.48425248066472,0.24592581964284,0.0719840215735057
"gamma",0.42,10824.9375697906,0.718687918633736,1.33435030461888,0.422033793827353,0.075691836422752
"gamma",0.44,10824.8943771991,0.752543752993322,1.20976296726335,0.377687996999559,0.0793142497493158
"gamma",0.46,10824.811364098,0.786241139631109,1.112367357904,0.567715848983211,0.082760858194549
"gamma",0.48,10823.9215873032,0.827332210545396,0.955810190093201,0.61018030868222,0.084239708697209
"gamma",0.5,10824.5925374049,0.854707389348071,0.97486393905622,0.592777696208331,0.0910322218346219
"gamma",0.52,10824.4718056913,0.89077167360462,0.900009952400552,0.441394977291316,0.0938893429573466
"gamma",0.54,10824.4163972965,0.921767856756324,0.873464426696046,0.57001247489895,0.0974011104366315
"gamma",0.56,10824.3210769066,0.954388010523863,0.836792986465482,0.512768876580077,0.100429356974322
"gamma",0.58,10824.3162335373,0.990152873333174,0.796334953192297,0.627789118430846,0.104240982623158
"gamma",0.6,10824.3000873911,1.02499948899909,0.766310135575208,0.51621071065954,0.108115845393807
"gamma",0.62,10824.3017784844,1.05982864056948,0.738556341562894,0.647579012205742,0.111920538829283
"gamma",0.64,10824.3156536467,1.0942314854843,0.71439673885157,0.691140476346695,0.115444695692137
"gamma",0.66,10824.3001680627,1.12650628227348,0.700523773673031,0.613742952278245,0.119102384193487
"gamma",0.68,10824.3471075063,1.16260912074268,0.678584652520845,1.40972190184067,0.12320917405378
"gamma",0.7,10824.3693447592,1.19738282351077,0.657934612903236,0.379900116638245,0.12606444661362
"mu",0.02,10724.9117740151,0.420921481237706,30.746699813665,0.243486917127758,9.18648200009028
"mu",0.025,10760.3178667619,0.435534770487359,31.4314059769888,0.253926074054458,226.159939542716
"mu",0.03,10783.1830943043,0.448401392671005,32.0110472742706,0.26249262741676,18.0351750593572
"mu",0.035,10797.990024842,0.467318361381272,13.7266822855942,0.273991136268384,1.04017670255962
"mu",0.04,10807.873702106,0.490110298751615,7.31217571661536,0.287463012731954,2.74987264237795
"mu",0.045,10813.0221585444,0.548462365711771,2.60051693060605,0.320983353934834,2.19880434736791
"mu",0.05,10818.4710720465,0.562229019799594,2.57510476096823,0.329232800159408,4.30254392529903
"mu",0.055,10821.6539119055,0.57442146843834,2.5742478603196,0.336261170606125,2.18129219145516
"mu",0.06,10823.3908932877,0.605590778945107,2.1142978232068,0.354250789878776,11.4991536641224
"mu",0.065,10824.3620888982,0.642520045090153,1.74662664770114,0.375699677877667,0.758476052176464
"mu",0.07,10824.8333718658,0.674613911972274,1.54824182004432,0.394272468557685,1.85753483562612
"mu",0.075,10824.9011692228,0.724031466669767,1.29391997992188,0.423478665072858,0.0259602662677704
"mu",0.08,10824.6975538861,0.779544616789826,1.10362810680516,0.455937144887317,0.372487497088458
"mu",0.085,10823.872441694,0.860781762580692,0.92243149546186,0.505274743021764,0.813230615442312
"mu",0.09,10824.5740158044,0.855808916543302,0.955009224175505,0.499866504531055,0.106484677120844
"mu",0.095,10824.4256810256,0.908653138422775,0.882730005364493,0.532267024380839,0.101777864038472
"mu",0.1,10824.2801333267,0.920529203825796,0.887467668461662,0.538318184790795,0.0775991168460324
"mu",0.105,10823.4338911197,0.917872186379318,0.90229497213318,0.533219040880541,0.00674935161514605
"mu",0.11,10823.4521918494,0.965824776511641,0.843649628702132,0.561580184492305,2.07330090986348
"mu",0.115,10823.0075978089,0.995718375731986,0.83193020738032,0.579698472310712,0.0333062902137052
"mu",0.12,10824.3405157493,1.13600060556142,0.689623458110235,0.664220351724231,0.10989982211547
"mu",0.125,10824.2595671756,1.15903999646194,0.68575654218866,0.677237241331888,0.133722380569717
"mu",0.13,10824.379213865,1.22085846714611,0.651017817031133,0.713406636174607,4.35124896337628
"mu",0.135,10824.4541459671,1.2870687493754,0.621218742620007,0.752878833167994,0.388674395174818
"mu",0.14,10824.5041015922,1.33213115095843,0.60485698188729,0.778601358714638,3.01634351164101
"mu",0.145,10824.5422985364,1.39641176240742,0.584897781304551,0.817686790919615,0.00818912450972585
"mu",0.15,10824.5891234933,1.41959198914965,0.582586328581532,0.830409211608271,0.427822841290794
